	Length	Potato_1_UY	Potato_2_UY	Potato_3_UY	Control_1_UY	Control_2_UY	Control_3_UY	Location
UW163_06455	795	1354	14475	1474	60064	68455	186544	Chromosome
UW163_06460	417	308	4191	1194	55648	66880	149412	Chromosome
UW163_06465	195	470	4999	336	18680	23983	62059	Chromosome
UW163_06470	270	983	8855	675	21696	28309	90408	Chromosome
UW163_06475	369	894	6066	1810	28311	37466	106565	Chromosome
UW163_06480	309	572	5269	957	19007	29246	72770	Chromosome
UW163_06485	543	1717	12555	2451	66605	90226	213732	Chromosome
UW163_06490	306	931	7373	1503	36953	52784	129611	Chromosome
UW163_06495	396	1059	8401	1066	33456	44789	120714	Chromosome
UW163_06500	534	1659	14776	1734	56788	72789	182376	Chromosome
UW163_06505	357	775	7274	1261	37439	49764	139542	Chromosome
UW163_06510	519	845	12164	1579	53731	70192	182944	Chromosome
UW163_06515	183	98	1389	693	21904	28746	64309	Chromosome
UW163_06520	432	350	6540	1304	39415	55070	144276	Chromosome
UW163_06525	1323	2758	23833	2979	72275	102383	281094	Chromosome
UW163_06530	195	409	3766	560	22136	29434	71084	Chromosome
UW163_06535	366	930	8565	1106	53544	70898	179002	Chromosome
UW163_06540	402	208	5400	1191	53776	75077	161431	Chromosome
UW163_06545	624	1121	9674	1512	33815	48548	134277	Chromosome
UW163_06550	981	913	10301	1669	64869	91214	204907	Chromosome
UW163_06555	399	248	3641	596	23671	33263	92509	Chromosome
UW163_06560	339	32	217	65	2829	3959	4650	Chromosome
UW163_06565	1839	64	290	145	13195	14795	18363	Chromosome
UW163_06570	996	32	593	156	13500	16632	25931	Chromosome
UW163_06575	702	36	516	156	9408	12394	18557	Chromosome
UW163_06580	660	34	407	193	15573	17460	28062	Chromosome
UW163_06585	2184	26	179	89	11688	12063	13800	Chromosome
UW163_06590	1188	102	373	148	15383	18918	20941	Chromosome
UW163_06595	432	17	216	53	5883	6340	7629	Chromosome
UW163_06600	537	2	18	18	3611	2240	2840	Chromosome
UW163_06605	861	3	36	39	5292	4331	3495	Chromosome
UW163_06610	996	13	821	52	5254	6486	5733	Chromosome
UW163_06615	654	8	169	27	2709	3139	2143	Chromosome
UW163_06620	1260	9	95	54	13673	13753	14129	Chromosome
UW163_06625	231	3	9	12	1876	1638	2601	Chromosome
UW163_06630	342	8	19	17	3520	3657	3890	Chromosome
UW163_06635	639	1	0	0	1	0	2	Chromosome
UW163_06640	2409	46	472	244	28779	32748	48778	Chromosome
UW163_06645	1071	165	1619	352	9899	13168	8752	Chromosome
UW163_06650	633	35	721	85	2807	4438	2316	Chromosome
UW163_06655	660	62	962	67	3887	6017	4505	Chromosome
UW163_06660	546	19	694	103	6610	8327	6743	Chromosome
UW163_06665	2142	137	3051	264	18756	24071	29931	Chromosome
UW163_06670	540	15	157	40	3901	5483	7848	Chromosome
UW163_06675	1107	17	210	79	8714	9795	14118	Chromosome
UW163_06680	1164	44	314	151	10774	11885	13069	Chromosome
UW163_06685	675	247	590	1047	9738	12941	17072	Chromosome
UW163_06690	726	9	31	16	2670	2754	1267	Chromosome
UW163_06695	4749	235	7206	954	45406	55496	47192	Chromosome
UW163_06700	1464	77	1173	156	11617	13185	10667	Chromosome
UW163_06705	1035	1	26	3	5370	3601	922	Chromosome
UW163_06710	840	37	372	122	10439	12229	15540	Chromosome
UW163_06715	768	16	199	122	8315	10191	10341	Chromosome
UW163_06720	519	27	289	109	7801	11142	11259	Chromosome
UW163_06725	810	46	646	203	12224	15379	20437	Chromosome
UW163_06730	636	118	844	431	9564	12784	22733	Chromosome
UW163_06735	315	4	77	31	4247	3720	6818	Chromosome
UW163_06740	957	60	612	113	11227	13099	20553	Chromosome
UW163_06745	789	53	447	62	6032	7815	8499	Chromosome
UW163_06750	237	29	243	73	3864	4754	7231	Chromosome
UW163_06755	1266	24	418	122	14719	14775	20303	Chromosome
UW163_06760	702	15	199	98	7690	8595	10423	Chromosome
UW163_06765	1329	25	227	95	10980	11126	14218	Chromosome
UW163_06770	1125	20	233	91	10037	10197	11327	Chromosome
UW163_06775	591	39	368	95	7201	8548	11348	Chromosome
UW163_06780	624	31	260	45	4656	6051	7834	Chromosome
UW163_06785	654	72	558	134	9531	11731	15600	Chromosome
UW163_06790	744	84	1076	274	17192	22977	35406	Chromosome
UW163_06795	771	17	183	143	13152	16609	21779	Chromosome
UW163_06800	426	23	273	86	7090	9577	14197	Chromosome
UW163_06805	375	16	186	88	6832	9072	10969	Chromosome
UW163_06810	375	39	523	76	5858	7652	12621	Chromosome
UW163_06815	258	54	498	152	10434	12817	22748	Chromosome
UW163_06820	519	11	118	71	6568	6918	9936	Chromosome
UW163_06825	798	68	167	28	3929	5324	4657	Chromosome
UW163_06830	1077	9	340	21	5946	4423	4236	Chromosome
UW163_06835	1770	19	1045	32	11727	12765	6858	Chromosome
UW163_06840	1104	38	1942	70	7050	10471	11199	Chromosome
UW163_06845	1512	1	28	27	8037	6612	3331	Chromosome
UW163_06850	708	4	48	15	4797	3760	2979	Chromosome
UW163_06855	1143	15	113	31	9480	10394	6263	Chromosome
UW163_06860	1128	17057	174015	25099	1182645	1432145	3131648	Chromosome
UW163_06865	1212	46	479	185	12985	18128	22367	Chromosome
UW163_06870	747	31	238	79	7526	9605	12011	Chromosome
UW163_06875	426	117	861	184	13737	18923	27043	Chromosome
UW163_06880	609	150	841	428	18050	25002	32199	Chromosome
UW163_06885	1404	389	2037	512	21413	29861	45895	Chromosome
UW163_06890	747	141	947	320	17148	24059	34497	Chromosome
UW163_06895	612	225	1216	423	20135	24980	51994	Chromosome
UW163_06900	501	140	987	219	9388	12780	28079	Chromosome
UW163_06910	888	3	4	4	8	6	3	Chromosome
UW163_06915	780	4	5	6	2	3	8	Chromosome
UW163_06920	789	1	0	0	2	1	4	Chromosome
UW163_06925	1017	8	0	1	0	2	3	Chromosome
UW163_06930	1296	21	88	40	8708	9864	7207	Chromosome
UW163_06935	2100	7	74	30	15609	14976	7149	Chromosome
UW163_06940	1875	7	42	24	7280	4630	3314	Chromosome
UW163_06945	2406	8	62	17	13073	12016	5192	Chromosome
UW163_06950	825	1	34	5	2192	1443	1237	Chromosome
UW163_06955	558	9	35	6	2319	1912	1140	Chromosome
UW163_06960	1017	409	1948	447	8856	11937	25748	Chromosome
UW163_06965	1980	490	3470	811	19493	25320	41292	Chromosome
UW163_06970	636	49	579	172	5798	7964	11681	Chromosome
UW163_06975	369	53	315	90	3941	5013	6435	Chromosome
UW163_06980	1668	103	944	182	18854	25514	39922	Chromosome
UW163_06985	228	8	114	18	1346	1743	2357	Chromosome
UW163_06990	489	53	434	107	3438	5150	6707	Chromosome
UW163_06995	321	5	189	104	3091	3477	3521	Chromosome
UW163_07000	2589	31	265	118	18147	18590	18625	Chromosome
UW163_07005	1527	43	425	168	19529	21693	26346	Chromosome
UW163_07010	720	18	121	93	10827	11446	15392	Chromosome
UW163_07015	645	5	158	109	8175	8537	11706	Chromosome
UW163_07020	312	115	682	106	4885	5354	12440	Chromosome
UW163_07025	888	5	33	14	3767	3050	2103	Chromosome
UW163_07030	345	3	205	66	3883	3836	1930	Chromosome
UW163_07035	1083	7	137	56	8753	9592	8064	Chromosome
UW163_07040	1308	15	104	96	12280	12010	13238	Chromosome
UW163_07045	243	1	12	10	1240	932	633	Chromosome
UW163_07050	1095	54	567	160	15320	17011	23991	Chromosome
UW163_07055	384	7	244	117	3266	4158	6443	Chromosome
UW163_07060	513	4	85	26	2927	3341	1327	Chromosome
UW163_07065	324	0	23	8	1175	885	382	Chromosome
UW163_07070	387	1	40	7	2780	1950	601	Chromosome
UW163_07075	1287	10	183	61	7335	7788	10858	Chromosome
UW163_07080	747	34	406	181	12132	15266	26271	Chromosome
UW163_07085	1017	6	58	33	7276	5795	5946	Chromosome
UW163_07090	1878	4	148	69	9204	9689	11401	Chromosome
UW163_07095	2214	46	151	50	13294	14992	11987	Chromosome
UW163_07100	300	28	4	2	46	53	83	Chromosome
UW163_07105	801	29	40	34	6231	4537	6392	Chromosome
UW163_07110	672	12	31	19	4281	3612	3691	Chromosome
UW163_07115	804	25	230	61	7739	8289	10805	Chromosome
UW163_07120	1038	39	392	58	8355	9459	12535	Chromosome
UW163_07125	438	4	4	0	203	119	188	Chromosome
UW163_07130	570	24	210	22	3689	4177	4316	Chromosome
UW163_07135	1536	101	279	79	14840	14734	14019	Chromosome
UW163_07140	741	115	185	54	6418	5755	7291	Chromosome
UW163_07145	729	33	180	82	7812	8976	12811	Chromosome
UW163_07150	375	15	149	46	5416	6599	9418	Chromosome
UW163_07155	252	27	64	25	3192	3279	4501	Chromosome
UW163_07160	1134	31	131	46	7366	7544	7969	Chromosome
UW163_07165	1311	30	97	127	13734	15433	16723	Chromosome
UW163_07170	468	26	58	18	3548	3932	2140	Chromosome
UW163_07175	789	61	412	92	8561	8370	11182	Chromosome
UW163_07180	777	29	205	64	6498	8581	11068	Chromosome
UW163_07210	1185	87	595	137	6055	8789	10826	Chromosome
UW163_07215	1530	93	256	62	8594	12977	9557	Chromosome
UW163_07220	978	4220	104	40	4753	6220	3716	Chromosome
UW163_07225	915	27	54	15	5192	5219	2625	Chromosome
UW163_07230	1020	22	45	16	6731	5972	5152	Chromosome
UW163_07235	1065	16	92	30	7781	7428	6026	Chromosome
UW163_07240	1206	17	88	42	8190	7948	5498	Chromosome
UW163_07245	1158	102	1597	337	22728	29293	36916	Chromosome
UW163_07250	1722	26	197	42	6165	3855	3140	Chromosome
UW163_07255	948	22	136	26	3351	2457	756	Chromosome
UW163_07260	2535	552	262	89	8464	5366	2605	Chromosome
UW163_07265	990	6	86	23	5574	3252	2847	Chromosome
UW163_07270	2097	37	175	109	15701	12814	10901	Chromosome
UW163_07275	1155	16	141	31	4559	5124	3920	Chromosome
UW163_07280	1710	99	740	101	14973	17949	17167	Chromosome
UW163_07285	1320	20	27	15	7941	7125	2492	Chromosome
UW163_07290	1173	47	626	96	7239	9173	4289	Chromosome
UW163_07295	636	9	69	83	6146	6128	4702	Chromosome
UW163_07300	429	42	570	101	5810	7422	9776	Chromosome
UW163_07305	960	104	508	144	10058	11462	14344	Chromosome
UW163_07310	327	3	67	16	1691	1829	1823	Chromosome
UW163_07315	1788	63	352	137	15770	17579	17134	Chromosome
UW163_07320	1545	34	93	60	10839	9234	12730	Chromosome
UW163_07325	1449	16	149	56	9440	8841	11654	Chromosome
UW163_07330	1170	77	475	141	10151	13856	22173	Chromosome
UW163_07335	1641	24	68	95	9634	8677	13705	Chromosome
UW163_07340	1242	54	318	132	9043	12300	15456	Chromosome
UW163_07345	1086	6	45	57	6394	5354	6471	Chromosome
UW163_07350	1452	33	263	204	19141	19455	29220	Chromosome
UW163_07355	996	9	86	77	12382	12993	16296	Chromosome
UW163_07360	900	10	88	94	9687	9648	10964	Chromosome
UW163_07365	1233	212	1407	509	25866	31082	55931	Chromosome
UW163_07370	1203	349	2477	943	69157	74968	166348	Chromosome
UW163_07375	501	48	335	59	4411	6390	7382	Chromosome
UW163_07380	918	84	867	289	13350	18195	21945	Chromosome
UW163_07385	510	35	512	262	10444	12884	25646	Chromosome
UW163_07390	963	35	412	114	12423	13852	22130	Chromosome
UW163_07395	2805	375	3070	801	44353	59502	116521	Chromosome
UW163_07400	1230	9	311	159	13253	14996	19397	Chromosome
UW163_07405	885	22	391	136	8651	11134	15065	Chromosome
UW163_07410	462	5	133	57	2558	3236	4325	Chromosome
UW163_07415	216	8	121	33	2025	2606	3352	Chromosome
UW163_07420	759	84	913	168	11405	15611	25657	Chromosome
UW163_07425	615	5	54	11	5759	5244	2767	Chromosome
UW163_07430	882	174	186	57	8413	9080	8401	Chromosome
UW163_07435	1266	317	1018	133	9615	12801	14450	Chromosome
UW163_07440	1728	117	1423	235	14593	20630	24278	Chromosome
UW163_07445	1278	40	341	105	5968	8526	8103	Chromosome
UW163_07455	930	32	230	107	8762	10690	9641	Chromosome
UW163_07460	375	894	7623	1460	34693	42861	122259	Chromosome
UW163_07465	261	88	1675	529	10213	12380	40071	Chromosome
UW163_07470	1101	38	482	164	8290	9573	11566	Chromosome
UW163_07475	1125	14	297	110	9394	8759	11337	Chromosome
UW163_07480	633	7	75	51	4608	5473	5338	Chromosome
UW163_07485	726	100	664	102	5684	6969	10505	Chromosome
UW163_07490	1725	30	627	187	15830	18745	27812	Chromosome
UW163_07495	735	17	111	29	4026	3944	6433	Chromosome
UW163_07500	879	10	127	45	7747	7693	7726	Chromosome
UW163_07505	594	0	37	9	3745	3747	1699	Chromosome
UW163_07510	549	17	276	93	6530	8113	13627	Chromosome
UW163_07515	1437	53	505	248	23457	24870	44606	Chromosome
UW163_07520	912	10	140	55	5040	5827	5880	Chromosome
UW163_07525	261	3	9	10	1082	978	1476	Chromosome
UW163_07530	2064	10	79	45	9186	8364	6974	Chromosome
UW163_07535	1695	6	93	32	5989	5177	6222	Chromosome
UW163_07540	603	2	21	13	1514	1581	1158	Chromosome
UW163_07545	2964	223	3399	606	44166	56618	90107	Chromosome
UW163_07550	1209	170	1877	445	9749	12681	18739	Chromosome
UW163_07555	1083	9	28	23	4054	3824	3144	Chromosome
UW163_07560	900	29	85	51	6220	5622	7601	Chromosome
UW163_07565	477	2	56	10	2125	1888	1352	Chromosome
UW163_07570	1347	18	127	24	5013	4055	4771	Chromosome
UW163_07575	1548	5	63	14	7344	9030	2765	Chromosome
UW163_07580	456	10	46	9	2112	2600	925	Chromosome
UW163_07585	1083	4	14	5	5131	3148	886	Chromosome
UW163_07590	696	8	10	4	2674	2015	501	Chromosome
UW163_07595	594	1445	12670	2553	92379	110957	270504	Chromosome
UW163_07600	468	21	133	104	17603	15883	46641	Chromosome
UW163_07605	936	90	975	354	39768	47190	90975	Chromosome
UW163_07610	501	48	871	197	14616	17946	31533	Chromosome
UW163_07615	1422	8	51	46	5186	4677	4909	Chromosome
UW163_07620	897	0	111	76	10257	9165	14207	Chromosome
UW163_07625	1371	229	917	224	19175	23412	38331	Chromosome
UW163_07630	465	36	362	99	4967	5899	12572	Chromosome
UW163_07635	471	6	276	123	5815	7726	8918	Chromosome
UW163_07640	525	22	235	64	5693	6846	9231	Chromosome
UW163_07645	675	33	39	22	5351	4505	2733	Chromosome
UW163_07650	1386	31	213	45	9484	11059	12604	Chromosome
UW163_07655	633	2	51	29	3826	3539	5003	Chromosome
UW163_07660	588	15	16	17	2447	2053	1588	Chromosome
UW163_07665	2082	32	425	184	18925	21909	29683	Chromosome
UW163_07670	915	40	333	71	9649	11612	13557	Chromosome
UW163_07675	918	16	210	48	7208	8484	9827	Chromosome
UW163_07680	705	15	91	23	4701	4717	3320	Chromosome
UW163_07685	1155	46	408	60	4327	5912	2472	Chromosome
UW163_07690	963	35	233	60	7928	9820	6289	Chromosome
UW163_07695	816	13	171	101	8152	8819	10232	Chromosome
UW163_07700	1227	1739	91	41	8896	8824	7869	Chromosome
UW163_07705	501	3	36	22	2946	2755	2918	Chromosome
UW163_07710	579	7	76	47	5741	5508	6849	Chromosome
UW163_07715	999	3	43	39	5912	4031	4351	Chromosome
UW163_07720	2346	244	2178	716	39811	54827	82718	Chromosome
UW163_07725	432	35	315	240	8704	12866	18515	Chromosome
UW163_07730	606	41	638	287	12416	17236	28646	Chromosome
UW163_07735	570	12	193	99	6783	7192	12799	Chromosome
UW163_07740	750	7	82	48	6476	5876	6508	Chromosome
UW163_07745	426	2	22	19	2887	2209	2086	Chromosome
UW163_07750	2028	272	1634	471	29825	35082	63417	Chromosome
UW163_07755	999	346	2496	823	48388	58362	137751	Chromosome
UW163_07760	1044	695	4796	1239	37135	48189	99801	Chromosome
UW163_07765	432	176	903	182	7338	10248	16159	Chromosome
UW163_07770	660	21	480	262	11334	13149	28057	Chromosome
UW163_07775	792	16	245	67	9578	9028	13127	Chromosome
UW163_07780	2634	130	1173	474	34307	44482	71778	Chromosome
UW163_07785	516	29	244	88	4826	6387	11073	Chromosome
UW163_07790	1077	4	89	47	7396	7009	10155	Chromosome
UW163_07795	1281	25	339	117	13087	13821	21257	Chromosome
UW163_07800	423	23	186	41	2836	4044	4982	Chromosome
UW163_07805	1401	124	263	137	12853	14405	18043	Chromosome
UW163_07810	1011	52	521	143	15333	19391	29428	Chromosome
UW163_07815	1119	15	234	86	9914	10670	12568	Chromosome
UW163_07820	1329	61	516	79	10896	15276	18495	Chromosome
UW163_07825	1404	137	1235	237	14988	23315	33195	Chromosome
UW163_07830	1038	296	775	246	12107	17778	23300	Chromosome
UW163_07835	1458	17	365	69	11191	13725	13038	Chromosome
UW163_07840	321	13	130	32	4444	4818	5748	Chromosome
UW163_07845	363	11	123	51	4446	5745	7823	Chromosome
UW163_07850	1140	3	66	55	8206	7553	9101	Chromosome
UW163_07855	2070	31	49	37	14573	13091	8689	Chromosome
UW163_07860	1143	4	11	15	5039	4084	2612	Chromosome
UW163_07865	1533	8	32	13	8879	7633	2773	Chromosome
UW163_07870	1176	5	14	3	2259	1837	525	Chromosome
UW163_07875	474	5	33	0	2095	2049	879	Chromosome
UW163_07880	507	4	64	51	4270	4862	4353	Chromosome
UW163_07885	1113	15	169	52	6508	8209	8296	Chromosome
UW163_07890	1599	7	142	54	10894	12545	8388	Chromosome
UW163_07895	609	53	221	69	5658	6689	10159	Chromosome
UW163_07900	1374	52	437	165	15106	16704	22932	Chromosome
UW163_07905	585	14	150	65	7424	10711	17808	Chromosome
UW163_07910	567	29	438	115	10418	17054	33704	Chromosome
UW163_07915	597	276	1537	335	23312	35810	79633	Chromosome
UW163_07920	969	95	562	155	13228	17305	34758	Chromosome
UW163_07925	1884	72	784	366	32970	42219	65961	Chromosome
UW163_07930	336	154	880	195	14449	17159	34121	Chromosome
UW163_07935	1152	15	119	50	8935	9443	9372	Chromosome
UW163_07940	1089	12	43	50	5947	5619	5221	Chromosome
UW163_07945	2193	9	36	25	7378	5949	4357	Chromosome
UW163_07950	204	0	6	3	1339	1231	473	Chromosome
UW163_07955	441	0	32	8	2062	2353	800	Chromosome
UW163_07960	1131	1	12	4	5297	4337	815	Chromosome
UW163_07965	951	46	15	0	3592	2803	868	Chromosome
UW163_07970	1191	0	20	3	1305	1350	224	Chromosome
UW163_07975	1287	4	14	4	3	5	5	Chromosome
UW163_07985	1224	4	21	4	4162	4425	717	Chromosome
UW163_07990	1287	5	30	5	4475	4437	673	Chromosome
UW163_07995	462	13	55	2	2058	2330	1503	Chromosome
UW163_08000	1203	7	86	22	7614	8551	3432	Chromosome
UW163_08005	945	9	271	18	2978	4919	2264	Chromosome
UW163_08015	945	27	504	125	7906	10504	12794	Chromosome
UW163_08020	243	25	203	36	1032	1576	3433	Chromosome
UW163_08025	501	85	945	346	19477	24347	38255	Chromosome
UW163_08030	876	14	97	55	4673	5617	5613	Chromosome
UW163_08035	279	1	45	15	1231	1327	1413	Chromosome
UW163_08040	825	8	23	18	3858	2456	2878	Chromosome
UW163_08045	723	15	138	36	4650	5022	6340	Chromosome
UW163_08050	1044	102	1191	172	7259	11047	11009	Chromosome
UW163_08055	1140	22	707	86	6865	9864	6170	Chromosome
UW163_08060	441	310	231	33	3382	4844	5499	Chromosome
UW163_08065	489	0	39	9	1567	1775	1310	Chromosome
UW163_08070	591	1	59	12	3397	3950	2359	Chromosome
UW163_08075	1029	2	70	6	2870	3982	2293	Chromosome
UW163_08080	537	12	84	10	2499	3466	2399	Chromosome
UW163_08085	3213	31	266	72	13919	18440	12865	Chromosome
UW163_08090	498	22	302	76	5981	8252	10679	Chromosome
UW163_08095	699	0	41	18	5316	4711	3350	Chromosome
UW163_08100	480	1	30	7	2342	2854	1072	Chromosome
UW163_08105	396	0	5	5	2866	2957	1228	Chromosome
UW163_08110	732	7	56	27	4876	4225	3795	Chromosome
UW163_08115	378	5	64	7	2312	3176	2996	Chromosome
UW163_08120	1248	6	57	16	6000	5817	4136	Chromosome
UW163_08125	1146	1	15	7	2597	1490	660	Chromosome
UW163_08130	1494	8	67	22	8048	8047	3915	Chromosome
UW163_08135	1419	0	86	36	11128	11561	7864	Chromosome
UW163_08140	558	0	7	4	2502	2021	1175	Chromosome
UW163_08145	897	31	260	94	10714	12383	16622	Chromosome
UW163_08150	336	5	33	18	1251	1875	1418	Chromosome
UW163_08155	1317	16	27	4	143	155	78	Chromosome
UW163_08160	1080	37	500	89	8424	12135	10867	Chromosome
UW163_08165	1461	23	273	148	17235	17308	24517	Chromosome
UW163_08170	870	4	78	63	11183	10613	11225	Chromosome
UW163_08175	4275	150	83	75	19376	15905	10641	Chromosome
UW163_08180	2877	15	103	74	13801	12100	8688	Chromosome
UW163_08185	621	2	19	12	3537	2663	2628	Chromosome
UW163_08190	2034	34	383	90	12302	13108	8594	Chromosome
UW163_08195	1623	31	331	77	16032	17478	19087	Chromosome
UW163_08200	447	1	28	17	5541	5340	6464	Chromosome
UW163_08205	1710	5	76	29	8904	6720	7651	Chromosome
UW163_08210	930	23	218	65	9096	11139	12611	Chromosome
UW163_08215	1059	18	235	68	7643	8911	9756	Chromosome
UW163_08220	714	5	198	20	5728	6269	5595	Chromosome
UW163_08225	1806	13	1546	94	25600	24750	23733	Chromosome
UW163_08230	1557	4	624	42	19594	17529	18516	Chromosome
UW163_08235	984	2	30	12	5037	3458	3471	Chromosome
UW163_08240	1227	1	50	9	5329	3891	3708	Chromosome
UW163_08245	1116	2	113	62	9938	9849	10420	Chromosome
UW163_08250	396	0	13	25	2975	3209	2971	Chromosome
UW163_08255	189	29	137	51	951	1210	1950	Chromosome
UW163_08260	645	10	240	117	6528	7362	11377	Chromosome
UW163_08265	423	2	43	25	2729	2966	3553	Chromosome
UW163_08270	180	0	3	2	374	306	315	Chromosome
UW163_08275	405	0	10	8	2872	2002	1577	Chromosome
UW163_08280	1959	211	2701	613	38628	65761	92134	Chromosome
UW163_08285	1146	42	394	145	16551	22353	29370	Chromosome
UW163_08290	1887	4	53	11	8484	6446	4685	Chromosome
UW163_08295	687	1	2	5	3194	1978	1886	Chromosome
UW163_08300	708	0	17	6	3197	2644	2655	Chromosome
UW163_08305	822	21	138	45	8011	8553	10975	Chromosome
UW163_08310	645	4	91	17	3843	4047	4445	Chromosome
UW163_08315	510	17	145	37	3703	4639	7689	Chromosome
UW163_08325	675	13	191	107	9698	11572	17481	Chromosome
UW163_08330	702	1	64	29	5482	5315	6334	Chromosome
UW163_08335	1071	17	207	55	7653	9353	7786	Chromosome
UW163_08340	1071	24	513	259	19125	23249	40152	Chromosome
UW163_08345	423	2	19	4	1733	1494	871	Chromosome
UW163_08350	273	1	2	0	262	71	52	Chromosome
UW163_08355	1074	7	24	7	4289	2434	1118	Chromosome
UW163_08360	639	7	36	19	3761	3537	1688	Chromosome
UW163_08365	657	0	14	2	1599	1284	661	Chromosome
UW163_08370	735	1	20	1	2715	2416	853	Chromosome
UW163_08375	213	1	1	0	270	152	54	Chromosome
UW163_08380	534	2	7	17	3734	2754	1951	Chromosome
UW163_08385	972	1	16	18	3266	2341	2656	Chromosome
UW163_08390	1935	48	102	50	9582	9027	9622	Chromosome
UW163_08395	1686	1	29	14	10173	8670	1728	Chromosome
UW163_08400	663	7	85	21	3235	4279	1647	Chromosome
UW163_08405	630	12	184	57	6186	6701	6734	Chromosome
UW163_08410	657	324	517	144	7235	9320	17992	Chromosome
UW163_08415	846	51	550	149	7946	11486	15186	Chromosome
UW163_08420	1593	85	263	122	13117	15940	16933	Chromosome
UW163_08425	267	198	1779	1564	34748	38584	92066	Chromosome
UW163_08430	324	16	187	85	2896	3752	2964	Chromosome
UW163_08435	927	122	1207	293	12451	15937	24398	Chromosome
UW163_08440	1338	133	1064	293	18847	24444	38968	Chromosome
UW163_08445	318	44	262	87	5282	7360	8975	Chromosome
UW163_08450	1050	14	147	34	6343	7909	5301	Chromosome
UW163_08455	1029	5	44	71	6361	5419	5717	Chromosome
UW163_08460	486	53	482	176	7364	9325	19564	Chromosome
UW163_08465	123	1	2	2	280	101	105	Chromosome
UW163_08470	624	3	64	32	6492	6670	8264	Chromosome
UW163_08475	492	4	29	4	2833	3011	1156	Chromosome
UW163_08480	936	73	14	13	5679	5572	3147	Chromosome
UW163_08485	480	3	31	15	3878	3879	3368	Chromosome
UW163_08490	651	2	24	3	2870	2832	1087	Chromosome
UW163_08495	1761	4	11	3	4	6	3	Chromosome
UW163_08500	1161	45	72	48	6907	6356	5981	Chromosome
UW163_08505	570	168	32	39	3094	3351	2832	Chromosome
UW163_08510	1527	40	376	142	9810	11680	11904	Chromosome
UW163_08515	1032	21	182	83	4806	5481	2342	Chromosome
UW163_08520	894	5	55	23	7149	6184	6203	Chromosome
UW163_08525	759	2	49	39	16966	12632	17144	Chromosome
UW163_08530	669	55	542	160	7868	10059	14759	Chromosome
UW163_08535	807	7	42	46	6166	5572	6809	Chromosome
UW163_08540	189	3	54	27	2232	2194	3090	Chromosome
UW163_08545	1050	3	72	29	6174	5049	4130	Chromosome
UW163_08550	432	6	161	63	4142	4482	4350	Chromosome
UW163_08555	621	23	312	126	7788	10311	13282	Chromosome
UW163_08560	1407	4	51	18	5793	4265	3329	Chromosome
UW163_08565	579	213	1614	679	47066	56137	109261	Chromosome
UW163_08570	753	2	40	11	4493	4779	1579	Chromosome
UW163_08575	726	2	16	2	356	477	241	Chromosome
UW163_08580	912	1	9	0	5	4	10	Chromosome
UW163_08585	594	4	14	6	1918	1303	628	Chromosome
UW163_08590	285	357	5840	2837	90465	115312	178767	Chromosome
UW163_08595	753	19	25	3	1784	1005	586	Chromosome
UW163_08600	1329	31	36	34	7786	7189	3247	Chromosome
UW163_08605	306	1	3	34	1990	1808	1938	Chromosome
UW163_08610	1401	15	153	60	9727	9241	6201	Chromosome
UW163_08615	441	21	182	139	7261	9650	10040	Chromosome
UW163_08620	768	4	22	7	5927	5216	2428	Chromosome
UW163_08625	1563	4	12	7	3442	2385	733	Chromosome
UW163_08630	1209	8	29	9	5404	5148	1609	Chromosome
UW163_08635	243	38	220	216	7920	8038	14699	Chromosome
UW163_08640	807	16	120	32	5451	5041	4092	Chromosome
UW163_08645	804	14	225	57	7487	9714	9905	Chromosome
UW163_08650	216	0	2	0	10	6	7	Chromosome
UW163_08655	1017	4	152	69	8064	7546	6994	Chromosome
UW163_08660	270	6	189	105	4881	6476	10103	Chromosome
UW163_08665	1326	190	2592	1309	88267	115843	195680	Chromosome
UW163_08670	933	9	83	13	4239	2975	2116	Chromosome
UW163_08675	558	1	5	4	579	256	98	Chromosome
UW163_08680	1482	10	15	5	4178	3316	1141	Chromosome
UW163_08685	747	2	16	5	1945	1111	953	Chromosome
UW163_08690	894	4	41	30	5719	5158	5744	Chromosome
UW163_08695	549	3	33	89	4123	4017	6206	Chromosome
UW163_08700	876	4	55	77	5934	6104	7075	Chromosome
UW163_08705	360	0	16	9	1606	1353	1036	Chromosome
UW163_08710	1629	7	38	19	8125	5346	3296	Chromosome
UW163_08715	411	22	251	54	2172	2520	2027	Chromosome
UW163_08720	1557	28	185	59	9489	9016	5113	Chromosome
UW163_08725	918	2	38	19	4330	3855	3711	Chromosome
UW163_08730	966	0	36	30	5020	4428	3503	Chromosome
UW163_08735	462	3	25	5	1567	1997	1229	Chromosome
UW163_08740	966	8	104	25	6425	7292	5888	Chromosome
UW163_08745	453	17	86	19	5129	5764	4261	Chromosome
UW163_08750	1350	7	13	13	2889	1653	859	Chromosome
UW163_08755	1512	5	39	38	6220	5187	4223	Chromosome
UW163_08760	207	215	4371	931	56981	67022	179035	Chromosome
UW163_08765	1251	382	4043	765	43385	56637	102158	Chromosome
UW163_08770	1248	2	12	1	8	6	14	Chromosome
UW163_08775	645	6	13	3	0	6	4	Chromosome
UW163_08780	204	0	2	0	1	1	1	Chromosome
UW163_08785	2463	3	15	6	10	9	13	Chromosome
UW163_08790	648	1	5	1	2	5	3	Chromosome
UW163_08795	651	0	5	2	3	4	6	Chromosome
