	Length	Tomato_1_UW	Tomato_2_UW	Tomato_3_UW	Banana_1_UW	Banana_2_UW	Banana_3_UW	Control_1_UW	Control_2_UW	Control_3_UW	Minimal_1_UW	Minimal_2_UW	Minimal_3_UW	Minimal_1_IB	Minimal_2_IB	Minimal_3_IB	Control_1_IB	Control_2_IB	Control_3_IB	Tomato_1_IB	Tomato_2_IB	Tomato_3_IB	Melon_1_IB	Melon_2_IB	Melon_3_IB	Location
UW163_04670	741	469	560	589	1469	2212	1235	434	462	535	2358	2684	1680	4014	5901	4721	825	814	853	457	1636	923	116	175	185	Chromosome
UW163_04675	1221	2612	3412	3629	5772	12589	7165	1518	1819	1870	15934	17342	10858	41953	46777	37521	5467	5761	5311	3260	7113	3647	781	999	1485	Chromosome
UW163_04680	885	463	508	594	1645	2062	1154	352	402	385	2202	2424	1544	4477	5768	5019	961	926	931	442	1144	644	138	153	235	Chromosome
UW163_04685	993	739	915	915	1541	1901	1458	900	911	829	1439	1873	742	2960	2173	1826	931	993	1048	432	884	501	263	338	677	Chromosome
UW163_04690	219	831	730	1072	3045	2609	2433	550	1021	1087	733	769	339	1119	776	671	259	311	342	271	706	423	193	203	369	Chromosome
UW163_04695	444	25	29	32	119	86	65	79	74	41	27	66	27	32	15	16	33	25	48	20	27	17	19	16	32	Chromosome
UW163_04700	759	299	343	362	905	749	662	746	778	945	365	502	283	280	337	329	776	795	615	276	562	429	251	207	468	Chromosome
UW163_04705	552	572	641	777	1171	1007	832	606	850	1010	889	1063	482	503	338	352	407	421	467	178	314	204	181	158	405	Chromosome
UW163_04710	957	73	69	123	159	163	124	98	90	97	152	178	90	64	67	65	38	54	54	21	49	27	34	36	81	Chromosome
UW163_04715	897	186	187	217	391	339	273	411	437	460	256	423	133	236	168	166	189	180	222	67	123	77	129	92	303	Chromosome
UW163_04720	216	254	230	280	381	445	427	343	405	609	605	654	475	597	801	672	336	325	283	115	270	150	164	142	271	Chromosome
UW163_04725	894	254	301	299	468	425	402	652	605	599	556	775	343	536	407	359	326	354	377	124	189	117	139	140	358	Chromosome
UW163_04730	606	290	305	375	354	544	560	671	782	767	600	770	432	746	726	722	369	389	427	113	208	122	283	191	527	Chromosome
UW163_04735	1149	1713	1893	1929	2535	3252	3377	8276	8297	9196	4639	5265	3528	7278	9832	8950	12855	12748	11734	1267	2540	1612	1164	1268	2381	Chromosome
UW163_04740	1944	5606	6076	6076	10216	10671	12056	10132	10728	13036	8251	8453	5863	7533	10827	10929	10206	9197	8157	2982	7983	5691	4332	4140	7689	Chromosome
UW163_04745	678	642	742	765	1287	1353	1322	1266	1336	1387	968	996	696	814	1158	1134	1025	931	918	306	834	554	421	411	884	Chromosome
UW163_04750	786	2501	2923	2915	5457	5692	5875	5195	5537	7813	4210	4372	2970	4251	5566	5412	4572	4698	4335	1379	3565	2476	1831	1825	3254	Chromosome
UW163_04755	912	2090	2344	2418	5071	4878	5038	4146	4447	5866	3302	3371	2087	3594	4292	4038	2699	2815	3206	865	2542	1618	1247	1423	2847	Chromosome
UW163_04760	579	8572	9902	9866	15855	18320	17921	8732	9745	10189	7405	8469	4600	7031	7314	7588	11536	10100	9817	4274	6932	4391	4564	4054	10777	Chromosome
UW163_04765	882	16331	19411	17256	35644	33859	34149	25826	26998	31103	11543	12355	8513	8872	14745	13915	40957	36256	31359	9147	22679	16774	10098	10099	17663	Chromosome
UW163_04770	267	28156	34050	27834	52389	51318	53597	62865	71550	97969	15717	15519	13211	14912	28990	25170	92515	94285	64914	18624	43527	32396	18248	19236	33649	Chromosome
UW163_04775	471	17458	19007	17002	26133	31266	33137	43421	44681	62405	8083	7698	6240	6275	13104	12944	37390	37567	36939	8222	22327	15764	10181	9347	18239	Chromosome
UW163_04780	537	15619	17413	15985	24696	30084	31871	39069	41626	53994	6128	5421	4506	5025	8696	9640	28636	29845	31995	7034	17990	12797	8277	7865	15579	Chromosome
UW163_04785	1542	53035	63801	55267	67048	88104	98128	149621	167474	223222	22636	21831	15911	20652	32098	33152	114930	130164	121235	25817	56252	38637	28838	28939	56640	Chromosome
UW163_04790	876	27655	30353	27494	26607	43172	52537	75096	86488	131336	11266	10007	8221	8748	16509	18361	57706	63473	56643	12537	33738	23836	15136	15759	26701	Chromosome
UW163_04795	1404	48462	55969	49412	81232	98859	107173	151551	174626	254599	21966	20925	16780	22197	36097	35624	125693	138407	117932	24373	59415	41199	28262	31441	52891	Chromosome
UW163_04800	417	10137	10963	10398	24854	21216	21642	28854	32781	47748	3377	3065	2129	2598	4490	4942	14820	16250	18776	4051	13269	9263	4705	5517	9781	Chromosome
UW163_04805	2310	2205	2226	3027	1215	1468	1280	1875	2145	2048	6528	8678	3482	1662	1489	1241	997	956	1126	641	666	406	1461	1052	2927	Chromosome
UW163_04810	1143	1929	2320	2394	5969	5609	4941	1912	2009	2018	4481	5396	2635	4197	3355	2976	2004	2110	2306	751	1739	1124	1375	1349	3305	Chromosome
UW163_04815	462	612	758	838	1945	1795	1305	929	958	624	982	1371	362	1350	484	454	279	408	604	158	280	146	276	294	1063	Chromosome
UW163_04820	966	752	913	987	2043	2031	1459	1201	965	923	1160	1542	488	1409	729	726	496	615	770	229	403	197	326	291	1101	Chromosome
UW163_04825	204	1867	2286	2529	6903	4344	4825	411	490	548	2450	2338	1131	2846	2080	2515	222	257	244	516	2296	1335	980	914	2185	Chromosome
UW163_04830	1062	517	556	615	1655	1619	1319	864	860	856	1337	1810	785	1409	1345	1150	483	494	517	252	586	412	344	320	749	Chromosome
UW163_04835	609	184	284	257	1016	1375	1127	315	296	222	303	380	135	354	180	215	296	333	412	88	173	109	125	89	379	Chromosome
UW163_04840	894	243	259	326	533	473	414	506	470	580	578	827	397	446	419	327	379	318	330	132	239	129	177	146	423	Chromosome
UW163_04845	648	330	292	367	784	751	724	525	586	886	875	1081	676	429	639	790	473	367	407	164	506	358	243	273	357	Chromosome
UW163_04850	1800	150	183	213	320	607	308	441	466	358	416	638	282	312	215	202	210	163	231	67	200	116	63	77	176	Chromosome
UW163_04855	381	127	186	165	509	526	329	177	162	169	427	572	243	700	534	420	84	129	112	80	153	84	86	86	173	Chromosome
UW163_04860	348	306	400	457	1156	983	853	334	372	556	1405	1627	921	2079	2168	1968	399	425	405	231	545	412	430	348	667	Chromosome
UW163_04865	477	348	416	459	954	1218	772	569	614	626	1311	1650	764	3245	2265	1968	399	463	536	190	333	162	176	149	427	Chromosome
UW163_04870	1095	1347	1589	1526	4303	4316	3494	4686	3581	3058	1160	1413	683	1668	1366	1180	2157	2293	2406	633	1312	835	892	1004	2815	Chromosome
UW163_04875	2307	667	795	841	2142	1724	1375	1791	1625	1416	562	847	278	645	393	419	643	772	958	281	559	354	297	336	1053	Chromosome
UW163_04880	4005	5526	6584	7419	7172	7452	6429	86879	83901	101286	3659	5942	2166	3977	3682	3725	21749	29920	23904	3082	5760	3651	2009	2520	5010	Chromosome
UW163_04885	1146	14705	16662	17545	21278	27795	30095	166796	183821	134420	11255	12096	7461	14330	21280	18410	100098	117119	86533	10537	25946	16909	7227	9118	14144	Chromosome
UW163_04890	1224	2546	3047	3267	4507	6123	5473	7817	6843	6075	2650	2904	1422	2216	2098	2074	2682	2667	2629	1012	1963	1085	2396	2616	5381	Chromosome
UW163_04895	1134	3198	3884	3982	4772	6399	5538	8532	7844	7477	2776	2952	1497	2873	2738	3133	2758	2839	3006	1154	2145	1243	2563	2772	5753	Chromosome
UW163_04900	2034	1788	2016	2083	4138	5256	4301	1952	1756	1573	3773	4173	2670	4547	4577	4090	5582	4474	4741	982	1812	1285	1097	1121	2612	Chromosome
UW163_04910	1011	870	949	1074	937	1637	1207	717	861	957	1004	1132	675	11446	12985	10757	21949	20681	22675	4922	5767	3871	5036	5174	10803	Chromosome
UW163_04915	867	138	119	140	185	296	230	133	89	148	181	242	136	1786	2191	1679	3292	2732	3062	549	749	566	646	602	1152	Chromosome
UW163_04920	2733	1015	847	966	525	560	494	1379	1223	1711	1091	1383	744	488	595	586	2050	1908	1787	369	549	327	300	326	493	Chromosome
UW163_04925	2211	1071	939	1087	500	561	536	1759	1761	2900	881	1052	700	613	886	757	2685	2702	2302	417	686	496	410	447	750	Chromosome
UW163_04930	1470	1863	2030	2123	1988	2111	1884	4304	4228	5983	2349	2849	1811	2317	2987	2397	5923	5778	5426	1016	1801	1128	1042	1104	1913	Chromosome
UW163_04935	264	230	261	295	345	363	320	1494	1262	1394	186	224	86	172	152	164	1306	1497	1857	82	179	105	92	92	232	Chromosome
UW163_04940	1377	438	507	576	643	787	859	7073	5880	7003	255	321	163	157	124	142	10481	12181	10511	202	361	222	165	201	441	Chromosome
UW163_04945	2949	5312	6433	6122	7317	9581	8917	58329	47319	59644	3265	4025	2144	3049	3004	2918	79926	91446	82926	1997	3920	2556	2071	2064	4517	Chromosome
UW163_04950	384	3034	3664	3390	5432	6145	6604	23238	21350	29579	4004	4298	3005	3907	4937	4540	45124	44259	37280	1560	4116	2776	1912	2171	3710	Chromosome
UW163_04955	1128	1819	2216	2037	2276	2766	2933	14960	10714	13239	625	882	484	398	464	383	41818	39014	31606	696	1530	1033	735	633	1229	Chromosome
UW163_04960	1011	10125	11123	10294	20621	19738	14617	4311	5371	7285	33047	35051	29248	29783	53021	40181	25304	18802	19584	11702	24623	17455	12390	16634	16746	Chromosome
UW163_04965	327	2346	2441	2925	2381	2079	1845	4098	5765	6173	14291	20483	11486	1990	2850	2466	2037	1813	1784	1067	2216	1505	1461	1982	2305	Chromosome
UW163_04970	2118	3844	4276	4109	5247	6104	6381	8522	9119	11800	3916	4608	3020	2859	4481	4139	8366	7472	6684	2390	6712	4722	2675	2726	4417	Chromosome
UW163_04975	345	108375	137029	111627	65194	125700	72111	26148	18388	20042	258406	245460	213367	292630	375939	293601	235567	200214	265131	69117	141652	83099	45373	59144	96066	Chromosome
UW163_04980	504	157985	186157	155915	95953	204646	104881	36352	26765	28750	359957	376634	278309	433887	507428	391133	346627	310607	381885	93824	175982	102672	65264	80298	143000	Chromosome
UW163_04985	540	12006	14262	13000	5928	14861	7752	3177	2161	2496	23258	22732	16485	22481	24978	19359	14273	13748	17410	5501	8189	4972	3117	3239	7426	Chromosome
UW163_04990	711	7006	6691	6529	7546	11249	8115	2191	1867	2499	9988	9341	7404	7872	11798	11027	10356	9033	9697	3009	6588	4434	2680	2874	4631	Chromosome
UW163_04995	615	854	902	888	251	481	322	2881	2233	2158	987	1033	569	905	765	806	5144	6140	6653	399	290	172	162	111	389	Chromosome
UW163_05000	1098	175	141	164	131	117	82	666	428	331	178	218	117	112	81	86	692	673	815	74	49	31	32	27	94	Chromosome
UW163_05005	1470	24542	31792	36369	764	440	157	8572	11726	13176	132	222	98	59	64	52	352	321	936	3624	4858	1849	6342	5724	19326	Chromosome
UW163_05010	1629	2249	2782	3175	408	304	180	673	802	763	104	166	70	81	43	30	74	76	120	335	447	195	589	468	1820	Chromosome
UW163_05015	1305	121	146	191	91	94	49	108	98	119	69	90	41	29	29	31	38	37	60	30	39	32	43	46	92	Chromosome
UW163_05020	912	137	155	181	186	276	209	243	268	207	261	340	157	155	131	144	171	186	177	50	94	56	54	59	140	Chromosome
UW163_05025	783	223	242	324	272	451	324	317	352	372	350	510	234	207	190	207	146	173	177	87	161	99	117	101	275	Chromosome
UW163_05030	1776	195	224	255	364	468	366	400	416	414	568	872	387	208	209	189	209	205	195	108	158	89	125	95	287	Chromosome
UW163_05035	912	202	194	223	239	292	325	399	421	450	747	967	503	247	370	339	367	320	361	100	179	90	139	146	248	Chromosome
UW163_05040	273	355	298	421	277	326	367	416	545	757	920	1214	687	258	391	379	270	226	230	82	184	126	136	126	205	Chromosome
UW163_05045	333	215	236	302	365	345	295	405	452	452	472	603	314	252	304	231	246	201	221	64	145	88	116	111	251	Chromosome
UW163_05050	588	285	350	399	778	624	445	1097	814	571	236	493	104	259	109	97	206	245	371	72	90	46	106	129	491	Chromosome
UW163_05055	690	626	684	794	1937	1610	1383	1926	1832	1935	930	1155	565	712	777	672	890	872	1238	250	634	403	334	357	1024	Chromosome
UW163_05060	1341	610	806	832	1446	1905	1806	855	945	1043	1699	2056	1063	770	968	996	648	597	565	393	922	641	411	322	694	Chromosome
UW163_05065	1011	947	1034	1164	1295	1703	1532	1768	1689	1585	2280	2744	1438	2935	2391	2179	2135	2095	2162	520	688	432	558	581	1311	Chromosome
UW163_05070	543	240	303	294	534	451	294	373	293	226	296	450	148	446	218	177	174	245	315	86	74	57	71	80	299	Chromosome
UW163_05075	1275	466	548	595	1007	969	735	639	553	422	864	1108	474	952	581	597	444	483	576	292	339	221	187	219	618	Chromosome
UW163_05080	477	863	803	1086	1569	1576	1122	215	243	202	2105	2401	1138	1301	1071	1007	120	129	153	935	1162	746	539	522	1364	Chromosome
UW163_05085	357	226	295	344	1078	863	609	476	427	401	523	508	245	834	553	485	280	263	271	95	187	118	108	109	288	Chromosome
UW163_05090	270	6424	7726	9125	150961	65885	78102	1018	1089	1276	14112	11106	8620	14608	26009	24465	1410	1060	1118	5564	18925	23914	2757	1916	3419	Chromosome
UW163_05095	696	266	289	311	770	588	540	577	604	730	422	518	251	509	404	425	275	300	323	126	230	141	181	177	366	Chromosome
UW163_05100	657	385	479	523	684	785	572	1371	1295	1117	642	957	327	922	485	419	390	455	611	125	189	93	186	156	671	Chromosome
UW163_05105	708	551	669	691	2538	2043	1333	982	811	604	512	803	215	746	294	265	201	296	394	154	256	161	201	262	964	Chromosome
UW163_05110	903	66	68	63	201	136	128	181	167	131	75	146	65	58	87	88	59	71	75	29	45	33	26	35	57	Chromosome
UW163_05115	402	846	1007	1062	1960	1601	1324	1430	1543	1286	1845	2324	1144	1565	1401	1013	1050	798	984	314	675	405	526	528	1327	Chromosome
UW163_05120	819	1560	1867	1787	3195	3029	3032	3837	4066	4111	4055	4685	2844	3766	4002	3309	3363	3090	3190	765	1575	1037	1384	1287	2998	Chromosome
UW163_05125	351	112	138	187	308	243	159	323	280	158	141	165	45	165	56	46	83	97	127	30	39	23	35	45	191	Chromosome
UW163_05130	1293	279	307	336	683	712	541	496	419	502	501	636	350	516	541	420	336	286	314	110	282	187	135	169	377	Chromosome
UW163_05135	897	435	497	550	1349	1500	1296	580	606	637	615	824	434	474	513	434	589	576	557	225	1032	581	260	215	451	Chromosome
UW163_05140	348	324	358	372	441	682	668	899	914	1025	415	507	255	343	328	318	796	722	759	157	424	261	185	248	416	Chromosome
UW163_05145	492	494	472	525	391	841	899	1452	1501	1656	509	670	383	558	736	639	1078	1002	993	253	734	412	292	264	524	Chromosome
UW163_05150	312	696	728	723	470	953	1268	2020	2194	2980	983	1136	782	903	1580	1386	1860	1824	1716	369	1353	835	466	513	727	Chromosome
UW163_05155	459	589	635	648	469	820	966	1172	1465	1571	648	727	348	808	662	663	759	892	966	219	506	299	244	227	641	Chromosome
UW163_05160	828	1052	1229	1277	1420	2063	1847	2729	2724	2753	1099	1300	629	1391	1103	1018	1459	1771	1919	415	820	460	430	450	1229	Chromosome
UW163_05165	654	918	1135	1107	1233	2138	1824	1945	2051	2449	1086	1054	708	1173	1309	1246	1485	1638	1569	463	1092	686	507	533	1099	Chromosome
UW163_05170	519	284	344	367	315	490	429	608	545	548	207	308	193	429	379	290	465	466	438	139	339	173	106	138	341	Chromosome
UW163_05175	1722	658	785	826	982	1628	1399	1297	1253	1256	722	857	486	4245	4685	4532	1434	1360	1558	819	1978	1089	899	934	2069	Chromosome
UW163_05185	2604	27817	25376	28524	14518	16914	22531	54821	67709	112360	30324	29207	25386	3	1	4	4	6	4	4	2	1	0	3	12	Chromosome
UW163_05190	474	653	745	748	1064	1029	1086	1222	1350	1879	755	789	589	34	14	22	19	28	39	6	8	5	10	7	24	Chromosome
UW163_05195	375	33	51	34	41	56	41	104	106	103	71	85	53	77	76	79	55	46	64	19	40	21	26	25	49	Chromosome
UW163_05200	1389	210	238	216	174	290	331	375	396	501	345	525	277	65	68	61	64	77	70	26	55	42	29	37	60	Chromosome
UW163_05205	450	79	100	96	103	107	106	131	167	189	140	165	97	16	17	18	31	20	29	9	18	19	17	17	21	Chromosome
UW163_05210	909	1027	927	1070	1121	1114	1107	669	918	1144	1601	1954	1510	2	0	2	2	3	1	1	1	1	1	3	2	Chromosome
UW163_05215	2232	1136	1228	1336	1864	1702	1616	1188	1344	1481	1030	1389	748	379	328	305	795	996	923	382	620	344	319	375	878	Chromosome
UW163_05220	462	301	321	293	356	324	392	256	251	333	319	431	271	229	401	385	457	366	345	208	541	337	220	227	336	Chromosome
UW163_05225	264	37	48	60	86	77	78	150	173	144	588	879	614	33	38	32	16	10	20	4	18	9	29	7	38	Chromosome
UW163_05230	483	110	102	137	138	202	169	347	464	360	1563	2264	1227	34	37	39	24	23	28	5	9	7	24	9	47	Chromosome
UW163_05235	906	418	473	571	628	775	708	778	1089	1295	2917	4375	3621	3	1	1	1	8	3	0	0	2	4	0	1	Chromosome
UW163_05240	648	42	53	52	51	49	58	184	244	199	564	966	514	22	23	12	6	17	10	5	2	5	20	12	29	Chromosome
UW163_05245	477	31	26	41	43	56	60	108	149	143	316	564	455	35	39	36	39	31	33	12	20	11	21	13	47	Chromosome
UW163_05250	738	40	55	67	102	76	75	116	121	108	227	394	223	118	120	116	94	81	114	43	147	102	48	76	119	Chromosome
UW163_05255	261	12	22	17	30	23	33	46	60	37	148	222	168	2	8	4	4	3	2	3	4	3	2	1	11	Chromosome
UW163_05260	2289	241	263	250	464	544	423	519	561	550	1248	1748	990	175	201	193	138	145	129	80	140	109	83	82	195	Chromosome
UW163_05265	465	79	95	106	210	200	216	193	250	315	557	810	496	73	119	118	98	66	67	50	109	86	48	63	85	Chromosome
UW163_05270	210	7	9	7	24	17	18	25	20	19	47	77	40	29	15	21	10	25	18	12	26	17	10	10	11	Chromosome
UW163_05275	441	76	107	105	267	164	155	167	170	140	518	624	304	104	88	88	71	53	70	35	95	69	51	55	88	Chromosome
UW163_05280	237	2880	2308	3550	2118	1669	2060	1790	3086	3645	7158	8044	5337	0	0	0	0	0	0	1	0	0	0	0	0	Chromosome
UW163_05285	309	2411	2400	2945	4076	2926	3311	2141	3035	3688	6790	8058	5162	1	1	0	0	1	0	1	1	0	1	0	2	Chromosome
UW163_05290	1404	105	141	128	200	195	159	168	226	262	195	253	168	72	75	74	77	93	99	40	62	35	52	41	83	Chromosome
UW163_05295	1269	950	1279	1235	824	741	920	440	581	535	1013	1159	661	15	15	13	18	11	23	3	9	14	9	8	20	Chromosome
UW163_05300	657	6336	7004	6856	1880	2040	4754	2627	4295	4425	9566	8941	7719	4	2	3	2	2	2	2	3	2	2	2	3	Chromosome
UW163_05305	189	179	164	206	325	280	274	150	215	315	251	278	184	3	19	7	5	8	2	0	3	0	1	2	5	Chromosome
UW163_05310	351	219	215	246	345	403	386	176	207	308	356	408	286	0	5	2	0	0	2	1	0	1	1	3	3	Chromosome
UW163_05315	495	56	64	74	146	138	129	97	117	108	127	201	88	15	17	14	10	21	16	6	10	12	10	10	16	Chromosome
UW163_05320	351	19	19	10	20	36	28	25	50	46	62	107	63	3	11	16	19	15	17	6	5	2	14	13	19	Chromosome
UW163_05325	537	5	11	12	18	13	8	20	17	9	19	17	5	2	1	1	0	0	1	0	0	0	0	1	0	Chromosome
UW163_05330	1968	32	25	30	94	73	54	69	60	75	81	133	48	3	8	5	9	6	5	3	12	5	1	3	11	Chromosome
UW163_05335	510	1	1	1	1	0	2	3	3	4	5	7	2	2	1	4	1	1	0	0	3	1	2	0	5	Chromosome
UW163_05340	393	1	0	3	6	2	2	3	1	2	1	2	0	0	1	1	1	0	1	0	0	0	0	1	3	Chromosome
UW163_05345	222	2	3	0	0	3	0	5	4	0	2	3	0	0	0	0	0	0	4	0	0	0	1	1	1	Chromosome
UW163_05350	1539	5	4	4	7	5	5	2	3	5	7	5	7	2	2	3	4	3	2	2	4	6	6	5	6	Chromosome
UW163_05355	1251	2	4	2	36	23	35	6	3	2	5	10	2	2	2	2	2	6	6	3	1	3	0	1	6	Chromosome
UW163_05360	378	2	1	2	0	0	1	1	1	1	0	5	1	2	3	0	0	1	0	0	2	0	0	1	4	Chromosome
UW163_05365	1005	3	3	3	1	2	5	5	7	4	3	11	8	3	3	1	5	4	3	0	2	2	4	3	3	Chromosome
UW163_05370	303	0	0	1	0	1	2	3	2	1	3	1	1	2	1	1	2	2	1	0	2	0	0	0	2	Chromosome
UW163_05375	447	1	1	0	1	3	1	3	6	2	3	4	2	2	1	0	1	2	1	0	0	0	1	2	2	Chromosome
UW163_05380	774	23	13	18	23	44	29	27	36	46	102	139	66	6	13	10	6	2	10	6	16	10	7	10	17	Chromosome
UW163_05385	393	3	4	6	1	6	6	4	4	4	5	8	9	3	1	6	3	2	3	3	0	5	1	3	0	Chromosome
UW163_05390	222	9	24	17	82	55	18	41	39	29	16	33	6	3	0	1	1	0	3	1	4	0	1	2	17	Chromosome
UW163_05395	645	231	269	307	482	472	475	280	325	372	435	567	272	197	242	235	160	144	166	121	327	199	183	200	330	Chromosome
UW163_05400	291	2117	1742	2338	1973	2795	2957	2325	3183	4755	5076	5699	4394	2410	5115	3690	1971	1887	1801	1253	4464	3015	1325	1414	1836	Chromosome
UW163_05405	1467	1825	1752	2301	1496	1677	1786	874	1206	1210	4168	4546	3198	864	1482	1051	269	173	163	1153	2003	1477	1274	1047	1836	Chromosome
UW163_05410	186	335	412	393	851	803	839	332	466	574	652	909	349	151	207	237	75	59	99	89	210	120	102	105	220	Chromosome
UW163_05415	414	1147	1287	1556	2386	2531	2531	1221	1633	2152	2715	3150	1687	756	1044	1061	515	517	569	325	965	667	495	514	881	Chromosome
UW163_05420	252	1195	1076	1329	2224	2431	2410	1435	2076	2626	2941	3766	1978	960	1493	1584	745	679	877	248	1104	751	548	586	835	Chromosome
UW163_05425	4101	536	623	564	803	862	800	577	672	637	1057	1560	724	401	394	372	270	264	275	276	380	227	225	221	513	Chromosome
UW163_05430	396	7	8	10	13	13	9	10	14	22	34	46	18	11	6	9	9	2	12	5	4	8	8	3	14	Chromosome
UW163_05435	3588	92	108	123	249	255	220	183	185	162	219	350	140	73	60	81	74	97	99	25	62	50	24	36	101	Chromosome
UW163_05440	1167	6	3	4	0	2	2	8	2	4	12	7	4	12	12	8	19	18	9	5	5	7	3	12	15	Chromosome
UW163_05445	483	2	0	2	1	2	0	0	6	6	5	4	1	0	0	1	1	2	1	1	1	1	2	3	1	Chromosome
UW163_05450	399	2	1	0	0	1	0	1	0	3	1	4	0	0	2	0	3	1	1	0	1	0	0	2	0	Chromosome
UW163_05455	1845	6	6	5	5	4	10	2	7	7	14	16	2	13	13	13	12	6	8	2	15	7	9	4	20	Chromosome
UW163_05460	225	0	2	0	2	2	0	2	1	3	4	1	1	0	1	1	1	3	1	0	0	2	1	1	1	Chromosome
UW163_05465	291	0	1	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	1	Chromosome
UW163_05470	483	0	3	1	2	1	0	2	1	0	5	8	1	3	4	1	3	2	2	2	3	0	0	1	2	Chromosome
UW163_05475	462	3	5	1	1	9	1	4	3	3	8	7	8	8	14	2	6	3	7	7	2	4	0	4	10	Chromosome
UW163_05480	297	2	3	4	3	3	2	2	2	2	4	6	4	12	25	25	17	9	13	8	11	9	4	12	9	Chromosome
UW163_05485	339	7	6	8	12	13	9	6	6	6	10	15	7	68	88	62	64	46	35	33	72	49	30	35	42	Chromosome
UW163_05490	330	89	91	112	52	54	67	131	184	245	169	174	138	6	14	6	23	18	19	3	12	10	2	4	8	Chromosome
UW163_05495	204	1994	1737	2188	4255	3648	3549	1078	1407	2331	4970	4296	3711	13	20	9	8	7	10	4	11	6	0	3	1	Chromosome
UW163_05500	1143	1076	1118	1257	1844	1810	1851	1440	1084	1762	1880	2040	3353	358	518	464	212	162	225	127	321	245	91	125	146	Chromosome
UW163_05505	258	339	351	380	600	504	496	453	322	470	543	663	1038	2	3	0	1	1	5	0	1	1	0	0	3	Chromosome
UW163_05510	354	976	891	1148	781	756	838	915	1186	1870	1121	1151	867	0	0	0	1	0	0	1	0	0	0	2	0	Chromosome
UW163_05515	777	1727	1388	1759	1716	1700	1587	2186	2819	4688	1449	1615	1279	1	2	1	0	2	2	0	1	1	0	1	3	Chromosome
UW163_05520	771	5537	5373	5650	8144	7258	8055	13250	14955	21817	6702	6336	5068	3	2	1	2	2	0	1	1	0	3	1	2	Chromosome
UW163_05525	546	8234	7187	7791	4092	4981	7129	8069	10577	18246	13114	12161	10266	0	3	2	0	0	0	0	1	0	1	1	2	Chromosome
UW163_05530	9093	3886	4214	4895	2688	3617	3910	6735	7599	11330	13952	14964	11341	3231	4061	3271	2383	2543	2319	502	1155	688	418	459	735	Chromosome
UW163_05535	342	250	222	267	53	121	71	99	189	361	281	285	235	6	6	10	7	6	4	2	6	3	4	11	5	Chromosome
UW163_05540	1764	714	807	899	519	641	697	995	1285	1783	1766	1957	1547	1753	2600	2317	1771	1834	1592	404	831	629	421	446	633	Chromosome
UW163_05545	1434	584	573	656	807	822	753	583	693	1029	1250	1291	1065	3413	5273	4080	2295	2476	2287	678	1462	956	639	721	1091	Chromosome
UW163_05550	690	363	321	355	213	320	312	334	440	788	572	550	414	588	1370	1261	584	499	487	245	644	559	237	294	320	Chromosome
UW163_05555	378	301	254	345	184	165	216	157	214	397	440	469	378	555	1160	929	335	260	256	128	382	273	148	153	173	Chromosome
UW163_05560	1083	1583	1385	1716	1374	1363	1250	383	523	772	4052	4144	3521	10165	15496	9631	843	647	728	584	1343	957	564	509	723	Chromosome
UW163_05565	801	595	510	606	702	797	838	217	278	432	1994	1855	1694	4905	8943	6788	463	361	452	289	969	625	346	339	403	Chromosome
UW163_05570	555	241	244	264	570	551	512	159	165	229	602	574	450	1559	2243	2055	228	171	209	123	358	268	155	147	200	Chromosome
UW163_05575	903	125	143	147	330	334	282	238	264	298	227	297	161	334	401	415	145	183	201	36	137	109	66	62	155	Chromosome
UW163_05580	1161	108	125	145	339	288	267	288	316	286	139	192	71	97	88	92	128	126	179	60	102	57	48	60	152	Chromosome
UW163_05585	2103	274	299	281	501	542	515	681	605	665	342	433	197	254	295	275	382	416	386	103	260	163	137	153	332	Chromosome
UW163_05590	3027	525	554	647	781	793	823	574	750	817	1075	1407	734	598	762	920	520	427	464	263	772	503	316	320	573	Chromosome
UW163_05595	699	1071	1161	1192	1934	2276	2204	1114	1150	1252	1559	2352	1171	608	894	731	590	443	456	649	1814	1282	650	545	945	Chromosome
UW163_05600	1932	325	328	324	499	530	527	625	774	960	812	1319	615	254	376	339	286	243	248	246	440	281	191	159	246	Chromosome
UW163_05605	1143	857	996	1005	2223	2487	2020	2151	2234	2497	1256	1548	835	1481	1388	1324	1258	1368	1391	422	1032	716	447	520	1135	Chromosome
UW163_05610	1278	500	567	694	751	767	562	1057	916	799	313	477	173	306	217	189	423	455	566	147	318	178	162	166	512	Chromosome
UW163_05615	837	3593	3920	4725	2882	2423	2599	4011	4813	6884	2470	2626	1820	2315	3519	3333	3835	3445	3478	1262	3180	2027	2038	2195	3336	Chromosome
UW163_05620	435	968	969	1050	1295	1280	1472	2126	2535	3574	1326	1367	1054	1165	2087	1974	2583	2324	1996	657	1658	1286	984	979	1405	Chromosome
UW163_05625	423	1835	1682	1940	1398	1553	2125	3019	4102	6008	2557	2578	1952	2145	4416	4404	4034	3449	3426	1093	3717	2845	1531	1650	1994	Chromosome
UW163_05630	1179	4865	5584	5386	14270	17281	14765	3235	3806	3928	11278	11000	7588	8567	12409	12845	7257	6377	6839	2847	4638	3153	2605	2601	4384	Chromosome
UW163_05635	573	50397	58971	59272	304527	294731	243796	13567	14462	11958	410359	421178	335935	591375	852913	671169	192229	150635	154852	51775	99257	68671	21796	25526	32281	Chromosome
